ID,Active (0/1),Name *,Parent category,Root category (0/1),Description,Meta title,Meta keywords,Meta description,URL rewritten,Image URL
12,1,Conservas del Mar,Home,0,Conservas del Mar,Conservas mar,conservas ,,,
12001,1,Almejas,,1,Almejas,Almejas,Almejas,,,
12002,1,Anchoas,,1,Anchoas,Anchoas,Anchoas,,,
12003,1,Atún,,1,Atún,Atún,Atún,,,
12004,1,Berberechos,,1,Berberechos,Berberechos,Berberechos,,,
12005,1,Bonito,,1,Bonito,Bonito,Bonito,,,
12006,1,Boquerones,,1,Boquerones,Boquerones,Boquerones,,,
12007,1,Caballa,,1,Caballa,Caballa,Caballa,,,
12008,1,Caviar,,1,Caviar,Caviar,Caviar,,,
12009,1,Erizo de mar,,1,Erizo de mar,Erizo de mar,Erizo de mar,,,
12010,1,Mejillones,,1,Mejillones,Mejillones,Mejillones,,,
12011,1,Melva,,1,Melva,Melva,Melva,,,
12012,1,Merluza,,1,Merluza,Merluza,Merluza,,,
12013,1,Mojama,,1,Mojama,Mojama,Mojama,,,
12014,1,Navajas,,1,Navajas,Navajas,Navajas,,,
12015,1,Ostras,,1,Ostras,Ostras,Ostras,,,
12016,1,Preparados del Mar,,1,Preparados del Mar,Preparados mar,Preparados mar,,,
12017,1,Pulpo,,1,Pulpo,Pulpo,Pulpo,,,
12018,1,Rape,,1,Rape,Rape,Rape,,,
12019,1,Salmón,,1,Salmón,Salmón,Salmón,,,
12020,1,Sardinillas,,1,Sardinillas,Sardinillas,Sardinillas,,,
12021,1,Zamburiñas,,1,Zamburiñas,Zamburiñas,Zamburiñas,,,
